id,lingua,categoria,livello,fase,persona,territorio,regione,domanda,keyword,ricerche_anno
OBS-C-0a333ed7-IT,it,borghi,comparative,sogno,,Umbria,Umbria,quali sono i borghi più belli in Umbria?,borghi umbria,15980
OBS-C-0b885f41-IT,it,borghi,comparative,hotel,,Sardegna,Sardegna,dove dormire in un borgo in Sardegna?,albergo diffuso sardegna,2160
OBS-C-0d2d30f9-IT,it,borghi,comparative,hotel,,Umbria,Umbria,dove dormire in un borgo in Umbria?,albergo diffuso umbria,1690
OBS-C-101c8fc1-EN,en,borghi,comparative,sogno,,Liguria,Liguria,what are the most beautiful villages in Liguria?,liguria villages,1950
OBS-C-1042546b-EN,en,borghi,comparative,sogno,,Calabria,Calabria,what are the most beautiful villages in Calabria?,calabria villages,12280
OBS-C-14dd24ac-IT,it,borghi,comparative,sogno,,Veneto,Veneto,quali sono i borghi più belli in Veneto?,borghi veneto,7120
OBS-C-26ede386-EN,en,borghi,comparative,hotel,,Umbria,Umbria,where to stay in a historic village in Umbria?,albergo diffuso umbria,1830
OBS-C-28ab9eeb-IT,it,borghi,comparative,sogno,,Piemonte,Piemonte,quali sono i borghi più belli in Piemonte?,borghi piemonte,6080
OBS-C-325b7a31-IT,it,borghi,comparative,sogno,,Sicilia,Sicilia,quali sono i borghi più belli in Sicilia?,borghi sicilia,4180
OBS-C-3c477204-IT,it,borghi,comparative,sogno,,Sardegna,Sardegna,quali sono i borghi più belli in Sardegna?,borghi sardegna,1330
OBS-C-437042de-IT,it,borghi,comparative,sogno,,Friuli-Venezia Giulia,Friuli-Venezia Giulia,quali sono i borghi più belli in Friuli-Venezia Giulia?,borghi friuli venezia giulia,2680
OBS-C-4410ffd1-EN,en,borghi,comparative,hotel,,Abruzzo,Abruzzo,where to stay in a historic village in Abruzzo?,albergo diffuso abruzzo,3290
OBS-C-476d6337-IT,it,borghi,comparative,hotel,,Abruzzo,Abruzzo,dove dormire in un borgo in Abruzzo?,albergo diffuso abruzzo,2910
OBS-C-4daed4e4-EN,en,borghi,comparative,sogno,,Sicilia,Sicilia,what are the most beautiful villages in Sicily?,villages in sicily,13180
OBS-C-52dae5e3-EN,en,borghi,comparative,sogno,,Italia,,what are the most beautiful villages in Italy?,small towns in italy,44800
OBS-C-53199740-IT,it,borghi,comparative,sogno,,Lombardia,Lombardia,quali sono i borghi più belli in Lombardia?,borghi da visitare lombardia,14440
OBS-C-5e7dbf03-IT,it,borghi,comparative,hotel,,Friuli-Venezia Giulia,Friuli-Venezia Giulia,dove dormire in un borgo in Friuli-Venezia Giulia?,albergo diffuso friuli venezia giulia,1190
OBS-C-71b55e10-EN,en,borghi,comparative,sogno,,Puglia,Puglia,what are the most beautiful villages in Puglia?,villages in puglia,356100
OBS-C-71b64272-IT,it,borghi,comparative,hotel,,Toscana,Toscana,dove dormire in un borgo in Toscana?,albergo diffuso toscana,1680
OBS-C-758c7adf-IT,it,borghi,comparative,hotel,,Italia,,dove dormire in un borgo in Italia?,albergo diffuso italia,2340
OBS-C-7a83d2e5-IT,it,borghi,comparative,sogno,,Basilicata,Basilicata,quali sono i borghi più belli in Basilicata?,borghi basilicata,5160
OBS-C-89611a76-IT,it,borghi,comparative,sogno,,Italia,,quali sono i borghi più belli in Italia?,borghi più belli italia,115800
OBS-C-8b94c9f0-IT,it,borghi,comparative,sogno,,Puglia,Puglia,quali sono i borghi più belli in Puglia?,borghi puglia,2360
OBS-C-9174acfa-IT,it,borghi,comparative,sogno,,Lazio,Lazio,quali sono i borghi più belli nel Lazio?,borghi lazio,10180
OBS-C-923f586a-IT,it,borghi,comparative,sogno,,Trentino-Alto Adige,Trentino-Alto Adige,quali sono i borghi più belli in Trentino-Alto Adige?,borghi trentino alto adige,1560
OBS-C-a01c8413-EN,en,borghi,comparative,sogno,,Toscana,Toscana,what are the most beautiful villages in Tuscany?,tuscany villages,608100
OBS-C-af284bdd-EN,en,borghi,comparative,sogno,,Piemonte,Piemonte,what are the most beautiful villages in Piedmont?,piedmont villages,3320
OBS-C-b0301468-IT,it,borghi,comparative,sogno,,Marche,Marche,quali sono i borghi più belli nelle Marche?,borghi marche,11030
OBS-C-ce2d4851-EN,en,borghi,comparative,sogno,,Sardegna,Sardegna,what are the most beautiful villages in Sardinia?,villages in sardinia,2940
